#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,20 March,-37.8491401,144.9698726
2,Bahrain,Sakhir,03 April,26.0303897,50.513543
3,China,Shanghai,17 April,31.341322,121.21911
4,Russia,Sochi,01 May,43.4067237,39.9569962
5,Spain,Barcelone,15 May,41.5682768,2.2582064
6,Monaco,Monaco,29 May,43.7380948,7.4260503
7,Canada,Montreal,12 June,45.50589,-73.52411
8,Europe,Bakou,19 June,40.3712591,49.8476935
9,Austria,Spielberg,03 July,47.2235862,14.7555404
10,Britain,Silverstone,10 July,52.07159,-1.01615
11,Hungary,Hungaroring,24 July,47.5817579,19.2507484
12,Germany,Hockenheim,31 July,49.3308527,8.5790215
13,Belgium,Spa-Francorchamps,28 August,50.4386283,5.9666064
14,Italy,Monza,04 September,45.6184477,9.2876756
15,Singapore,Singapour,18 September,1.2875346,103.8554768
16,Malaysia,Kuala-Lumpur,02 October,2.7597106,101.7371379
17,Japan,Suzuka,09 October,34.8431556,136.5266977
18,USA,Austin,23 October,30.1336367,-97.6345729
19,Mexico,Mexico-City,30 October,19.4002574,-99.0902792
20,Brazil,Interlagos,13 November,-23.7032926,-46.696961
21,Abu Dhabi,Yas-Marina,27 November,24.4717208,54.6018358
