#,Grand Prix,Circuit,Date,lat,long
1,Brazil,Jacarepagua,26 March,-22.9779874,-43.3958898
2,San Marino,Imola,23 April,44.3398577,11.7133288
3,Monaco,Monaco,07 May,43.7380948,7.4260503
4,Mexico,Mexico-City,28 May,19.4002574,-99.0902792
5,USA,Phoenix,04 June,33.44701,-112.07681
6,Canada,Montreal,18 June,45.50589,-73.52411
7,France,Le-Castellet,09 July,43.2511291,5.7894971
8,Britain,Silverstone,16 July,52.07159,-1.01615
9,Germany,Hockenheim,30 July,49.3308527,8.5790215
10,Hungary,Hungaroring,13 August,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,27 August,50.4386283,5.9666064
12,Italy,Monza,10 September,45.6184477,9.2876756
13,Portugal,Estoril,24 September,38.7491677,-9.394149
14,Spain,Jerez-de-la-Frontera,01 October,36.7075431,-6.0326723
15,Japan,Suzuka,22 October,34.8431556,136.5266977
16,Australia,Adelaide,05 November,-34.9269993,138.6172609
