#,Grand Prix,Circuit,Date,lat,long
1,Brazil,Jacarepagua,23 March,-22.9779874,-43.3958898
2,Spain,Jerez-de-la-Frontera,13 April,36.7075431,-6.0326723
3,San Marino,Imola,27 April,44.3398577,11.7133288
4,Monaco,Monaco,11 May,43.7380948,7.4260503
5,Belgium,Spa-Francorchamps,25 May,50.4386283,5.9666064
6,Canada,Montreal,15 June,45.50589,-73.52411
7,Detroit,Detroit,22 June,42.3280081,-83.0405242
8,France,Le-Castellet,06 July,43.2511291,5.7894971
9,Britain,Brands-Hatch,13 July,51.3555433,0.2629122
10,Germany,Hockenheim,27 July,49.3308527,8.5790215
11,Hungary,Hungaroring,10 August,47.5817579,19.2507484
12,Austria,Osterreichring,17 August,47.22244,14.7595
13,Italy,Monza,07 September,45.6184477,9.2876756
14,Portugal,Estoril,21 September,38.7491677,-9.394149
15,Mexico,Mexico-City,12 October,19.4002574,-99.0902792
16,Australia,Adelaide,26 October,-34.9269993,138.6172609
