#,Grand Prix,Circuit,Date,lat,long
1,Britain,Silverstone,13 May,52.07159,-1.01615
2,Monaco,Monaco,21 May,43.7380948,7.4260503
3,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
4,Switzerland,Bremgarten,04 June,46.9581878,7.402719
5,Belgium,Spa-Francorchamps,18 June,50.4386283,5.9666064
6,France,Reims,02 July,49.2583768,3.9230837
7,Italy,Monza,03 September,45.6184477,9.2876756
