#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,09 March,-37.8491401,144.9698726
2,Brazil,Interlagos,30 March,-23.7032926,-46.696961
3,Argentina,Buenos-Aires,13 April,-34.6922845,-58.4550501
4,San Marino,Imola,27 April,44.3398577,11.7133288
5,Monaco,Monaco,11 May,43.7380948,7.4260503
6,Spain,Barcelone,25 May,41.5682768,2.2582064
7,Canada,Montreal,15 June,45.50589,-73.52411
8,France,Magny-Cours,29 June,46.8619335,3.1655065
9,Britain,Silverstone,13 July,52.07159,-1.01615
10,Germany,Hockenheim,27 July,49.3308527,8.5790215
11,Hungary,Hungaroring,10 August,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,24 August,50.4386283,5.9666064
13,Italy,Monza,07 September,45.6184477,9.2876756
14,Austria,Spielberg,21 September,47.2235862,14.7555404
15,Luxembourg,Nurburgring,28 September,50.3292676,6.942535
16,Japan,Suzuka,12 October,34.8431556,136.5266977
17,Europe,Jerez-de-la-Frontera,26 October,36.7075431,-6.0326723
