#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,07 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,21 March,2.7597106,101.7371379
3,Bahrain,Sakhir,04 April,26.0303897,50.513543
4,San Marino,Imola,25 April,44.3398577,11.7133288
5,Spain,Barcelone,09 May,41.5682768,2.2582064
6,Monaco,Monaco,23 May,43.7380948,7.4260503
7,Europe,Nurburgring,30 May,50.3292676,6.942535
8,Canada,Montreal,13 June,45.50589,-73.52411
9,USA,Indianapolis,20 June,39.7955151,-86.2362663
10,France,Magny-Cours,04 July,46.8619335,3.1655065
11,Britain,Silverstone,11 July,52.07159,-1.01615
12,Germany,Hockenheim,25 July,49.3308527,8.5790215
13,Hungary,Hungaroring,15 August,47.5817579,19.2507484
14,Belgium,Spa-Francorchamps,29 August,50.4386283,5.9666064
15,Italy,Monza,12 September,45.6184477,9.2876756
16,China,Shanghai,26 September,31.341322,121.21911
17,Japan,Suzuka,10 October,34.8431556,136.5266977
18,Brazil,Interlagos,24 October,-23.7032926,-46.696961
