#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,17 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,24 March,2.7597106,101.7371379
3,China,Shanghai,14 April,31.341322,121.21911
4,Bahrain,Sakhir,21 April,26.0303897,50.513543
5,Spain,Barcelone,12 May,41.5682768,2.2582064
6,Monaco,Monaco,26 May,43.7380948,7.4260503
7,Canada,Montreal,09 June,45.50589,-73.52411
8,Britain,Silverstone,30 June,52.07159,-1.01615
9,Germany,Nurburgring,07 July,50.3292676,6.942535
10,Hungary,Hungaroring,28 July,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,25 August,50.4386283,5.9666064
12,Italy,Monza,08 September,45.6184477,9.2876756
13,Singapore,Singapour,22 September,1.2875346,103.8554768
14,South Korea,Yeongam,06 October,34.7372903,126.4123532
15,Japan,Suzuka,13 October,34.8431556,136.5266977
16,India,New-Delhi,27 October,28.3473368,77.5337797
17,Abu Dhabi,Yas-Marina,03 November,24.4717208,54.6018358
18,USA,Austin,17 November,30.1336367,-97.6345729
19,Brazil,Interlagos,24 November,-23.7032926,-46.696961
