#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,29 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,05 April,2.7597106,101.7371379
3,China,Shanghai,19 April,31.341322,121.21911
4,Bahrain,Sakhir,26 April,26.0303897,50.513543
5,Spain,Barcelone,10 May,41.5682768,2.2582064
6,Monaco,Monaco,24 May,43.7380948,7.4260503
7,Turkey,Istanbul,07 June,40.9552661,29.4096963
8,Britain,Silverstone,21 June,52.07159,-1.01615
9,Germany,Nurburgring,12 July,50.3292676,6.942535
10,Hungary,Hungaroring,26 July,47.5817579,19.2507484
11,Europe,Valencia,23 August,39.458529,-0.330191
12,Belgium,Spa-Francorchamps,30 August,50.4386283,5.9666064
13,Italy,Monza,13 September,45.6184477,9.2876756
14,Singapore,Singapour,27 September,1.2875346,103.8554768
15,Japan,Suzuka,04 October,34.8431556,136.5266977
16,Brazil,Interlagos,18 October,-23.7032926,-46.696961
17,Abu Dhabi,Yas-Marina,01 November,24.4717208,54.6018358
