#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,17 January,-34.6922845,-58.4550501
2,Indianapolis 500,Indianapolis,31 May,39.7955151,-86.2362663
3,Belgium,Spa-Francorchamps,20 June,50.4386283,5.9666064
4,France,Reims,04 July,49.2583768,3.9230837
5,Britain,Silverstone,17 July,52.07159,-1.01615
6,Germany,Nurburgring,01 August,50.3292676,6.942535
7,Switzerland,Bremgarten,22 August,46.9581878,7.402719
8,Italy,Monza,05 September,45.6184477,9.2876756
9,Spain,Pedralbes,24 October,41.3881241,2.1173237
