#,Grand Prix,Circuit,Date,lat,long
1,Switzerland,Bremgarten,27 May,46.9581878,7.402719
2,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
3,Belgium,Spa-Francorchamps,17 June,50.4386283,5.9666064
4,France,Reims,01 July,49.2583768,3.9230837
5,Britain,Silverstone,14 July,52.07159,-1.01615
6,Germany,Nurburgring,29 July,50.3292676,6.942535
7,Italy,Monza,16 September,45.6184477,9.2876756
8,Spain,Pedralbes,28 October,41.3881241,2.1173237
