#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,08 March,-37.8491401,144.9698726
2,Brazil,Interlagos,29 March,-23.7032926,-46.696961
3,Argentina,Buenos-Aires,12 April,-34.6922845,-58.4550501
4,San Marino,Imola,26 April,44.3398577,11.7133288
5,Spain,Barcelone,10 May,41.5682768,2.2582064
6,Monaco,Monaco,24 May,43.7380948,7.4260503
7,Canada,Montreal,07 June,45.50589,-73.52411
8,France,Magny-Cours,28 June,46.8619335,3.1655065
9,Britain,Silverstone,12 July,52.07159,-1.01615
10,Austria,Spielberg,26 July,47.2235862,14.7555404
11,Germany,Hockenheim,02 August,49.3308527,8.5790215
12,Hungary,Hungaroring,16 August,47.5817579,19.2507484
13,Belgium,Spa-Francorchamps,30 August,50.4386283,5.9666064
14,Italy,Monza,13 September,45.6184477,9.2876756
15,Luxembourg,Nurburgring,27 September,50.3292676,6.942535
16,Japan,Suzuka,01 November,34.8431556,136.5266977
