#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,16 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,30 March,2.7597106,101.7371379
3,Bahrain,Sakhir,06 April,26.0303897,50.513543
4,China,Shanghai,20 April,31.341322,121.21911
5,Spain,Barcelone,11 May,41.5682768,2.2582064
6,Monaco,Monaco,25 May,43.7380948,7.4260503
7,Canada,Montreal,08 June,45.50589,-73.52411
8,Austria,Spielberg,22 June,47.2235862,14.7555404
9,Britain,Silverstone,06 July,52.07159,-1.01615
10,Germany,Hockenheim,20 July,49.3308527,8.5790215
11,Hungary,Hungaroring,27 July,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,24 August,50.4386283,5.9666064
13,Italy,Monza,07 September,45.6184477,9.2876756
14,Singapore,Singapour,21 September,1.2875346,103.8554768
15,Japan,Suzuka,05 October,34.8431556,136.5266977
16,Russia,Sochi,12 October,43.4067237,39.9569962
17,USA,Austin,02 November,30.1336367,-97.6345729
18,Brazil,Interlagos,09 November,-23.7032926,-46.696961
19,Abu Dhabi,Yas-Marina,23 November,24.4717208,54.6018358
