#,Grand Prix,Circuit,Date,lat,long
1,South Africa,Kyalami,01 March,-25.9976867,28.067626
2,Mexico,Mexico-City,22 March,19.4002574,-99.0902792
3,Brazil,Interlagos,05 April,-23.7032926,-46.696961
4,Spain,Barcelone,03 May,41.5682768,2.2582064
5,San Marino,Imola,17 May,44.3398577,11.7133288
6,Monaco,Monaco,31 May,43.7380948,7.4260503
7,Canada,Montreal,14 June,45.50589,-73.52411
8,France,Magny-Cours,05 July,46.8619335,3.1655065
9,Britain,Silverstone,12 July,52.07159,-1.01615
10,Germany,Hockenheim,26 July,49.3308527,8.5790215
11,Hungary,Hungaroring,16 August,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,30 August,50.4386283,5.9666064
13,Italy,Monza,13 September,45.6184477,9.2876756
14,Portugal,Estoril,27 September,38.7491677,-9.394149
15,Japan,Suzuka,25 October,34.8431556,136.5266977
16,Australia,Adelaide,08 November,-34.9269993,138.6172609
