#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,16 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,23 March,2.7597106,101.7371379
3,Bahrain,Sakhir,06 April,26.0303897,50.513543
4,Spain,Barcelone,27 April,41.5682768,2.2582064
5,Turkey,Istanbul,11 May,40.9552661,29.4096963
6,Monaco,Monaco,25 May,43.7380948,7.4260503
7,Canada,Montreal,08 June,45.50589,-73.52411
8,France,Magny-Cours,22 June,46.8619335,3.1655065
9,Britain,Silverstone,06 July,52.07159,-1.01615
10,Germany,Hockenheim,20 July,49.3308527,8.5790215
11,Hungary,Hungaroring,03 August,47.5817579,19.2507484
12,Europe,Valencia,24 August,39.458529,-0.330191
13,Belgium,Spa-Francorchamps,07 September,50.4386283,5.9666064
14,Italy,Monza,14 September,45.6184477,9.2876756
15,Singapore,Singapour,28 September,1.2875346,103.8554768
16,Japan,Fuji,12 October,35.3689657,138.9281865
17,China,Shanghai,19 October,31.341322,121.21911
18,Brazil,Interlagos,02 November,-23.7032926,-46.696961
