#,Grand Prix,Circuit,Date,lat,long
1,Monaco,Monaco,26 May,43.7380948,7.4260503
2,Belgium,Spa-Francorchamps,09 June,50.4386283,5.9666064
3,Netherlands,Zandvoort,23 June,52.3878911,4.5430609
4,France,Reims,30 June,49.2583768,3.9230837
5,Britain,Silverstone,20 July,52.07159,-1.01615
6,Germany,Nurburgring,04 August,50.3292676,6.942535
7,Italy,Monza,08 September,45.6184477,9.2876756
8,USA,Watkins-Glen,06 October,42.336931,-76.924553
9,Mexico,Mexico-City,27 October,19.4002574,-99.0902792
10,South Africa,East-London,28 December,-33.0491788,27.8745906
