#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,12 March,-37.8491401,144.9698726
2,Brazil,Interlagos,26 March,-23.7032926,-46.696961
3,San Marino,Imola,09 April,44.3398577,11.7133288
4,Britain,Silverstone,23 April,52.07159,-1.01615
5,Spain,Barcelone,07 May,41.5682768,2.2582064
6,Europe,Nurburgring,21 May,50.3292676,6.942535
7,Monaco,Monaco,04 June,43.7380948,7.4260503
8,Canada,Montreal,18 June,45.50589,-73.52411
9,France,Magny-Cours,02 July,46.8619335,3.1655065
10,Austria,Spielberg,16 July,47.2235862,14.7555404
11,Germany,Hockenheim,30 July,49.3308527,8.5790215
12,Hungary,Hungaroring,13 August,47.5817579,19.2507484
13,Belgium,Spa-Francorchamps,27 August,50.4386283,5.9666064
14,Italy,Monza,10 September,45.6184477,9.2876756
15,USA,Indianapolis,24 September,39.7955151,-86.2362663
16,Japan,Suzuka,08 October,34.8431556,136.5266977
17,Malaysia,Kuala-Lumpur,22 October,2.7597106,101.7371379
