#,Grand Prix,Circuit,Date,lat,long
1,Monaco,Monaco,10 May,43.7380948,7.4260503
2,Netherlands,Zandvoort,24 May,52.3878911,4.5430609
3,Belgium,Spa-Francorchamps,14 June,50.4386283,5.9666064
4,France,Rouen-les-Essarts,28 June,49.3333869,1.0022022
5,Britain,Brands-Hatch,11 July,51.3555433,0.2629122
6,Germany,Nurburgring,02 August,50.3292676,6.942535
7,Austria,Zeltweg,23 August,47.200012,14.741163
8,Italy,Monza,06 September,45.6184477,9.2876756
9,USA,Watkins-Glen,04 October,42.336931,-76.924553
10,Mexico,Mexico-City,25 October,19.4002574,-99.0902792
