#,Grand Prix,Circuit,Date,lat,long
1,Bahrain,Sakhir,28 March,26.0303897,50.513543
2,Emilia Romagna,Imola,18 April,44.3398577,11.7133288
3,Portugal,Portimao,02 May,37.2288843,-8.627678
4,Spain,Barcelone,09 May,41.5682768,2.2582064
5,Monaco,Monaco,23 May,43.7380948,7.4260503
6,Azerbaijan,Bakou,06 June,40.3712591,49.8476935
7,France,Le-Castellet,20 June,43.2511291,5.7894971
8,Styria,Spielberg,27 June,47.2235862,14.7555404
9,Austria,Spielberg,04 July,47.2235862,14.7555404
10,Britain,Silverstone,18 July,52.07159,-1.01615
11,Hungary,Hungaroring,01 August,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,29 August,50.4386283,5.9666064
13,Netherlands,Zandvoort,05 September,52.3878911,4.5430609
14,Italy,Monza,12 September,45.6184477,9.2876756
15,Russia,Sochi,26 September,43.4067237,39.9569962
16,Turkey,Istanbul,10 October,40.9552661,29.4096963
17,USA,Austin,24 October,30.1336367,-97.6345729
18,Mexico City,Mexico-City,07 November,19.4002574,-99.0902792
19,Sao Paulo,Interlagos,14 November,-23.7032926,-46.696961
20,Qatar,Losail,21 November,25.4904378,51.4538568
21,Saudi Arabia,Djeddah,05 December,21.6380938,39.0994433
22,Abu Dhabi,Yas-Marina,12 December,24.4717208,54.6018358
