#,Grand Prix,Circuit,Date,lat,long
1,Bahrain,Sakhir,14 March,26.0303897,50.513543
2,Australia,Melbourne,28 March,-37.8491401,144.9698726
3,Malaysia,Kuala-Lumpur,04 April,2.7597106,101.7371379
4,China,Shanghai,18 April,31.341322,121.21911
5,Spain,Barcelone,09 May,41.5682768,2.2582064
6,Monaco,Monaco,16 May,43.7380948,7.4260503
7,Turkey,Istanbul,30 May,40.9552661,29.4096963
8,Canada,Montreal,13 June,45.50589,-73.52411
9,Europe,Valencia,27 June,39.458529,-0.330191
10,Britain,Silverstone,11 July,52.07159,-1.01615
11,Germany,Hockenheim,25 July,49.3308527,8.5790215
12,Hungary,Hungaroring,01 August,47.5817579,19.2507484
13,Belgium,Spa-Francorchamps,29 August,50.4386283,5.9666064
14,Italy,Monza,12 September,45.6184477,9.2876756
15,Singapore,Singapour,26 September,1.2875346,103.8554768
16,Japan,Suzuka,10 October,34.8431556,136.5266977
17,South Korea,Yeongam,24 October,34.7372903,126.4123532
18,Brazil,Interlagos,07 November,-23.7032926,-46.696961
19,Abu Dhabi,Yas-Marina,14 November,24.4717208,54.6018358
