#,Grand Prix,Circuit,Date,lat,long
1,USA,Phoenix,10 March,33.44701,-112.07681
2,Brazil,Interlagos,24 March,-23.7032926,-46.696961
3,San Marino,Imola,28 April,44.3398577,11.7133288
4,Monaco,Monaco,12 May,43.7380948,7.4260503
5,Canada,Montreal,02 June,45.50589,-73.52411
6,Mexico,Mexico-City,16 June,19.4002574,-99.0902792
7,France,Magny-Cours,07 July,46.8619335,3.1655065
8,Britain,Silverstone,14 July,52.07159,-1.01615
9,Germany,Hockenheim,28 July,49.3308527,8.5790215
10,Hungary,Hungaroring,11 August,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,25 August,50.4386283,5.9666064
12,Italy,Monza,08 September,45.6184477,9.2876756
13,Portugal,Estoril,22 September,38.7491677,-9.394149
14,Spain,Barcelone,29 September,41.5682768,2.2582064
15,Japan,Suzuka,20 October,34.8431556,136.5266977
16,Australia,Adelaide,03 November,-34.9269993,138.6172609
