#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,18 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,08 April,2.7597106,101.7371379
3,Bahrain,Sakhir,15 April,26.0303897,50.513543
4,Spain,Barcelone,13 May,41.5682768,2.2582064
5,Monaco,Monaco,27 May,43.7380948,7.4260503
6,Canada,Montreal,10 June,45.50589,-73.52411
7,USA,Indianapolis,17 June,39.7955151,-86.2362663
8,France,Magny-Cours,01 July,46.8619335,3.1655065
9,Britain,Silverstone,08 July,52.07159,-1.01615
10,Europe,Nurburgring,22 July,50.3292676,6.942535
11,Hungary,Hungaroring,05 August,47.5817579,19.2507484
12,Turkey,Istanbul,26 August,40.9552661,29.4096963
13,Italy,Monza,09 September,45.6184477,9.2876756
14,Belgium,Spa-Francorchamps,16 September,50.4386283,5.9666064
15,Japan,Fuji,30 September,35.3689657,138.9281865
16,China,Shanghai,07 October,31.341322,121.21911
17,Brazil,Interlagos,21 October,-23.7032926,-46.696961
