#,Grand Prix,Circuit,Date,lat,long
1,South Africa,Kyalami,14 March,-25.9976867,28.067626
2,Brazil,Interlagos,28 March,-23.7032926,-46.696961
3,Europe,Donington,11 April,52.8296656,-1.3749465
4,San Marino,Imola,25 April,44.3398577,11.7133288
5,Spain,Barcelone,09 May,41.5682768,2.2582064
6,Monaco,Monaco,23 May,43.7380948,7.4260503
7,Canada,Montreal,13 June,45.50589,-73.52411
8,France,Magny-Cours,04 July,46.8619335,3.1655065
9,Britain,Silverstone,11 July,52.07159,-1.01615
10,Germany,Hockenheim,25 July,49.3308527,8.5790215
11,Hungary,Hungaroring,15 August,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,29 August,50.4386283,5.9666064
13,Italy,Monza,12 September,45.6184477,9.2876756
14,Portugal,Estoril,26 September,38.7491677,-9.394149
15,Japan,Suzuka,24 October,34.8431556,136.5266977
16,Australia,Adelaide,07 November,-34.9269993,138.6172609
