#,Grand Prix,Circuit,Date,lat,long
1,Bahrain,Sakhir,20 March,26.0303897,50.513543
2,Saudi Arabia,Djeddah,27 March,21.6380938,39.0994433
3,Australia,Melbourne,10 April,-37.8491401,144.9698726
4,Emilia Romagna,Imola,24 April,44.3398577,11.7133288
5,Miami,Miami,08 May,25.9577398,-80.238678
6,Spain,Barcelone,22 May,41.5682768,2.2582064
7,Monaco,Monaco,29 May,43.7380948,7.4260503
8,Azerbaijan,Bakou,12 June,40.3712591,49.8476935
9,Canada,Montreal,19 June,45.50589,-73.52411
10,Britain,Silverstone,03 July,52.07159,-1.01615
11,Austria,Spielberg,10 July,47.2235862,14.7555404
12,France,Le-Castellet,24 July,43.2511291,5.7894971
13,Hungary,Hungaroring,31 July,47.5817579,19.2507484
14,Belgium,Spa-Francorchamps,28 August,50.4386283,5.9666064
15,Netherlands,Zandvoort,04 September,52.3878911,4.5430609
16,Italy,Monza,11 September,45.6184477,9.2876756
17,Singapore,Singapour,02 October,1.2875346,103.8554768
18,Japan,Suzuka,09 October,34.8431556,136.5266977
19,USA,Austin,23 October,30.1336367,-97.6345729
20,Mexico City,Mexico-City,30 October,19.4002574,-99.0902792
21,Sao Paulo,Interlagos,13 November,-23.7032926,-46.696961
22,Abu Dhabi,Yas-Marina,20 November,24.4717208,54.6018358
