#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,13 January,-34.6922845,-58.4550501
2,Monaco,Monaco,19 May,43.7380948,7.4260503
3,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
4,France,Rouen-les-Essarts,07 July,49.3333869,1.0022022
5,Britain,Aintree,20 July,53.4759049,-2.9413726
6,Germany,Nurburgring,04 August,50.3292676,6.942535
7,Pescara,Pescara,18 August,42.4773755,14.1548578
8,Italy,Monza,08 September,45.6184477,9.2876756
