#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,15 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,29 March,2.7597106,101.7371379
3,China,Shanghai,12 April,31.341322,121.21911
4,Bahrain,Sakhir,19 April,26.0303897,50.513543
5,Spain,Barcelone,10 May,41.5682768,2.2582064
6,Monaco,Monaco,24 May,43.7380948,7.4260503
7,Canada,Montreal,07 June,45.50589,-73.52411
8,Austria,Spielberg,21 June,47.2235862,14.7555404
9,Britain,Silverstone,05 July,52.07159,-1.01615
10,Hungary,Hungaroring,26 July,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,23 August,50.4386283,5.9666064
12,Italy,Monza,06 September,45.6184477,9.2876756
13,Singapore,Singapour,20 September,1.2875346,103.8554768
14,Japan,Suzuka,27 September,34.8431556,136.5266977
15,Russia,Sochi,11 October,43.4067237,39.9569962
16,USA,Austin,25 October,30.1336367,-97.6345729
17,Mexico,Mexico-City,01 November,19.4002574,-99.0902792
18,Brazil,Interlagos,15 November,-23.7032926,-46.696961
19,Abu Dhabi,Yas-Marina,29 November,24.4717208,54.6018358
