#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,26 March,-37.8491401,144.9698726
2,China,Shanghai,09 April,31.341322,121.21911
3,Bahrain,Sakhir,16 April,26.0303897,50.513543
4,Russia,Sochi,30 April,43.4067237,39.9569962
5,Spain,Barcelone,14 May,41.5682768,2.2582064
6,Monaco,Monaco,28 May,43.7380948,7.4260503
7,Canada,Montreal,11 June,45.50589,-73.52411
8,Azerbaijan,Bakou,25 June,40.3712591,49.8476935
9,Austria,Spielberg,09 July,47.2235862,14.7555404
10,Britain,Silverstone,16 July,52.07159,-1.01615
11,Hungary,Hungaroring,30 July,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,27 August,50.4386283,5.9666064
13,Italy,Monza,03 September,45.6184477,9.2876756
14,Singapore,Singapour,17 September,1.2875346,103.8554768
15,Malaysia,Kuala-Lumpur,01 October,2.7597106,101.7371379
16,Japan,Suzuka,08 October,34.8431556,136.5266977
17,USA,Austin,22 October,30.1336367,-97.6345729
18,Mexico,Mexico-City,29 October,19.4002574,-99.0902792
19,Brazil,Interlagos,12 November,-23.7032926,-46.696961
20,Abu Dhabi,Yas-Marina,26 November,24.4717208,54.6018358
