#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,22 January,-34.6922845,-58.4550501
2,Monaco,Monaco,13 May,43.7380948,7.4260503
3,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
4,Belgium,Spa-Francorchamps,03 June,50.4386283,5.9666064
5,France,Reims,01 July,49.2583768,3.9230837
6,Britain,Silverstone,14 July,52.07159,-1.01615
7,Germany,Nurburgring,05 August,50.3292676,6.942535
8,Italy,Monza,02 September,45.6184477,9.2876756
