#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,10 March,-37.8491401,144.9698726
2,Brazil,Interlagos,31 March,-23.7032926,-46.696961
3,Argentina,Buenos-Aires,07 April,-34.6922845,-58.4550501
4,Europe,Nurburgring,28 April,50.3292676,6.942535
5,San Marino,Imola,05 May,44.3398577,11.7133288
6,Monaco,Monaco,19 May,43.7380948,7.4260503
7,Spain,Barcelone,02 June,41.5682768,2.2582064
8,Canada,Montreal,16 June,45.50589,-73.52411
9,France,Magny-Cours,30 June,46.8619335,3.1655065
10,Britain,Silverstone,14 July,52.07159,-1.01615
11,Germany,Hockenheim,28 July,49.3308527,8.5790215
12,Hungary,Hungaroring,11 August,47.5817579,19.2507484
13,Belgium,Spa-Francorchamps,25 August,50.4386283,5.9666064
14,Italy,Monza,08 September,45.6184477,9.2876756
15,Portugal,Estoril,22 September,38.7491677,-9.394149
16,Japan,Suzuka,13 October,34.8431556,136.5266977
