#,Grand Prix,Circuit,Date,lat,long
1,Brazil,Interlagos,26 March,-23.7032926,-46.696961
2,Argentina,Buenos-Aires,09 April,-34.6922845,-58.4550501
3,San Marino,Imola,30 April,44.3398577,11.7133288
4,Spain,Barcelone,14 May,41.5682768,2.2582064
5,Monaco,Monaco,28 May,43.7380948,7.4260503
6,Canada,Montreal,11 June,45.50589,-73.52411
7,France,Magny-Cours,02 July,46.8619335,3.1655065
8,Britain,Silverstone,16 July,52.07159,-1.01615
9,Germany,Hockenheim,30 July,49.3308527,8.5790215
10,Hungary,Hungaroring,13 August,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,27 August,50.4386283,5.9666064
12,Italy,Monza,10 September,45.6184477,9.2876756
13,Portugal,Estoril,24 September,38.7491677,-9.394149
14,Europe,Nurburgring,01 October,50.3292676,6.942535
15,Pacific,Aida,22 October,34.9152924,134.2207281
16,Japan,Suzuka,29 October,34.8431556,136.5266977
17,Australia,Adelaide,12 November,-34.9269993,138.6172609
