#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,18 January,-34.6922845,-58.4550501
2,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
3,Netherlands,Zandvoort,07 June,52.3878911,4.5430609
4,Belgium,Spa-Francorchamps,21 June,50.4386283,5.9666064
5,France,Reims,05 July,49.2583768,3.9230837
6,Britain,Silverstone,18 July,52.07159,-1.01615
7,Germany,Nurburgring,02 August,50.3292676,6.942535
8,Switzerland,Bremgarten,23 August,46.9581878,7.402719
9,Italy,Monza,13 September,45.6184477,9.2876756
