#,Grand Prix,Circuit,Date,lat,long
1,South Africa,East-London,01 January,-33.0491788,27.8745906
2,Monaco,Monaco,30 May,43.7380948,7.4260503
3,Belgium,Spa-Francorchamps,13 June,50.4386283,5.9666064
4,France,Clermont-Ferrand,27 June,45.7456087,3.0402848
5,Britain,Silverstone,10 July,52.07159,-1.01615
6,Netherlands,Zandvoort,18 July,52.3878911,4.5430609
7,Germany,Nurburgring,01 August,50.3292676,6.942535
8,Italy,Monza,12 September,45.6184477,9.2876756
9,USA,Watkins-Glen,03 October,42.336931,-76.924553
10,Mexico,Mexico-City,24 October,19.4002574,-99.0902792
