#,Grand Prix,Circuit,Date,lat,long
1,Netherlands,Zandvoort,20 May,52.3878911,4.5430609
2,Monaco,Monaco,03 June,43.7380948,7.4260503
3,Belgium,Spa-Francorchamps,17 June,50.4386283,5.9666064
4,France,Rouen-les-Essarts,08 July,49.3333869,1.0022022
5,Britain,Aintree,21 July,53.4759049,-2.9413726
6,Germany,Nurburgring,05 August,50.3292676,6.942535
7,Italy,Monza,16 September,45.6184477,9.2876756
8,USA,Watkins-Glen,07 October,42.336931,-76.924553
9,South Africa,East-London,29 December,-33.0491788,27.8745906
