#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,27 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,10 April,2.7597106,101.7371379
3,China,Shanghai,17 April,31.341322,121.21911
4,Turkey,Istanbul,08 May,40.9552661,29.4096963
5,Spain,Barcelone,22 May,41.5682768,2.2582064
6,Monaco,Monaco,29 May,43.7380948,7.4260503
7,Canada,Montreal,12 June,45.50589,-73.52411
8,Europe,Valencia,26 June,39.458529,-0.330191
9,Britain,Silverstone,10 July,52.07159,-1.01615
10,Germany,Nurburgring,24 July,50.3292676,6.942535
11,Hungary,Hungaroring,31 July,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,28 August,50.4386283,5.9666064
13,Italy,Monza,11 September,45.6184477,9.2876756
14,Singapore,Singapour,25 September,1.2875346,103.8554768
15,Japan,Suzuka,09 October,34.8431556,136.5266977
16,South Korea,Yeongam,16 October,34.7372903,126.4123532
17,India,New-Delhi,30 October,28.3473368,77.5337797
18,Abu Dhabi,Yas-Marina,13 November,24.4717208,54.6018358
19,Brazil,Interlagos,27 November,-23.7032926,-46.696961
