#,Grand Prix,Circuit,Date,lat,long
1,USA,Phoenix,11 March,33.44701,-112.07681
2,Brazil,Interlagos,25 March,-23.7032926,-46.696961
3,San Marino,Imola,13 May,44.3398577,11.7133288
4,Monaco,Monaco,27 May,43.7380948,7.4260503
5,Canada,Montreal,10 June,45.50589,-73.52411
6,Mexico,Mexico-City,24 June,19.4002574,-99.0902792
7,France,Le-Castellet,08 July,43.2511291,5.7894971
8,Britain,Silverstone,15 July,52.07159,-1.01615
9,Germany,Hockenheim,29 July,49.3308527,8.5790215
10,Hungary,Hungaroring,12 August,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,26 August,50.4386283,5.9666064
12,Italy,Monza,09 September,45.6184477,9.2876756
13,Portugal,Estoril,23 September,38.7491677,-9.394149
14,Spain,Jerez-de-la-Frontera,30 September,36.7075431,-6.0326723
15,Japan,Suzuka,21 October,34.8431556,136.5266977
16,Australia,Adelaide,04 November,-34.9269993,138.6172609
