#,Grand Prix,Circuit,Date,lat,long
1,Brazil,Jacarepagua,03 April,-22.9779874,-43.3958898
2,San Marino,Imola,01 May,44.3398577,11.7133288
3,Monaco,Monaco,15 May,43.7380948,7.4260503
4,Mexico,Mexico-City,29 May,19.4002574,-99.0902792
5,Canada,Montreal,12 June,45.50589,-73.52411
6,Detroit,Detroit,19 June,42.3280081,-83.0405242
7,France,Le-Castellet,03 July,43.2511291,5.7894971
8,Britain,Silverstone,10 July,52.07159,-1.01615
9,Germany,Hockenheim,24 July,49.3308527,8.5790215
10,Hungary,Hungaroring,07 August,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,28 August,50.4386283,5.9666064
12,Italy,Monza,11 September,45.6184477,9.2876756
13,Portugal,Estoril,25 September,38.7491677,-9.394149
14,Spain,Jerez-de-la-Frontera,02 October,36.7075431,-6.0326723
15,Japan,Suzuka,30 October,34.8431556,136.5266977
16,Australia,Adelaide,13 November,-34.9269993,138.6172609
