#,Grand Prix,Circuit,Date,lat,long
1,Monaco,Monaco,14 May,43.7380948,7.4260503
2,Netherlands,Zandvoort,22 May,52.3878911,4.5430609
3,Belgium,Spa-Francorchamps,18 June,50.4386283,5.9666064
4,France,Reims,02 July,49.2583768,3.9230837
5,Britain,Aintree,15 July,53.4759049,-2.9413726
6,Germany,Nurburgring,06 August,50.3292676,6.942535
7,Italy,Monza,10 September,45.6184477,9.2876756
8,USA,Watkins-Glen,08 October,42.336931,-76.924553
