#,Grand Prix,Circuit,Date,lat,long
1,Switzerland,Bremgarten,18 May,46.9581878,7.402719
2,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
3,Belgium,Spa-Francorchamps,22 June,50.4386283,5.9666064
4,France,Rouen-les-Essarts,06 July,49.3333869,1.0022022
5,Britain,Silverstone,19 July,52.07159,-1.01615
6,Germany,Nurburgring,03 August,50.3292676,6.942535
7,Netherlands,Zandvoort,17 August,52.3878911,4.5430609
8,Italy,Monza,07 September,45.6184477,9.2876756
