#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,18 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,25 March,2.7597106,101.7371379
3,China,Shanghai,15 April,31.341322,121.21911
4,Bahrain,Sakhir,22 April,26.0303897,50.513543
5,Spain,Barcelone,13 May,41.5682768,2.2582064
6,Monaco,Monaco,27 May,43.7380948,7.4260503
7,Canada,Montreal,10 June,45.50589,-73.52411
8,Europe,Valencia,24 June,39.458529,-0.330191
9,Britain,Silverstone,08 July,52.07159,-1.01615
10,Germany,Hockenheim,22 July,49.3308527,8.5790215
11,Hungary,Hungaroring,29 July,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,02 September,50.4386283,5.9666064
13,Italy,Monza,09 September,45.6184477,9.2876756
14,Singapore,Singapour,23 September,1.2875346,103.8554768
15,Japan,Suzuka,07 October,34.8431556,136.5266977
16,South Korea,Yeongam,14 October,34.7372903,126.4123532
17,India,New-Delhi,28 October,28.3473368,77.5337797
18,Abu Dhabi,Yas-Marina,04 November,24.4717208,54.6018358
19,USA,Austin,18 November,30.1336367,-97.6345729
20,Brazil,Interlagos,25 November,-23.7032926,-46.696961
