#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,06 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,20 March,2.7597106,101.7371379
3,Bahrain,Sakhir,03 April,26.0303897,50.513543
4,San Marino,Imola,24 April,44.3398577,11.7133288
5,Spain,Barcelone,08 May,41.5682768,2.2582064
6,Monaco,Monaco,22 May,43.7380948,7.4260503
7,Europe,Nurburgring,29 May,50.3292676,6.942535
8,Canada,Montreal,12 June,45.50589,-73.52411
9,USA,Indianapolis,19 June,39.7955151,-86.2362663
10,France,Magny-Cours,03 July,46.8619335,3.1655065
11,Britain,Silverstone,10 July,52.07159,-1.01615
12,Germany,Hockenheim,24 July,49.3308527,8.5790215
13,Hungary,Hungaroring,31 July,47.5817579,19.2507484
14,Turkey,Istanbul,21 August,40.9552661,29.4096963
15,Italy,Monza,04 September,45.6184477,9.2876756
16,Belgium,Spa-Francorchamps,11 September,50.4386283,5.9666064
17,Brazil,Interlagos,25 September,-23.7032926,-46.696961
18,Japan,Suzuka,09 October,34.8431556,136.5266977
19,China,Shanghai,16 October,31.341322,121.21911
