#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,25 March,-37.8491401,144.9698726
2,Bahrain,Sakhir,08 April,26.0303897,50.513543
3,China,Shanghai,15 April,31.341322,121.21911
4,Azerbaijan,Bakou,29 April,40.3712591,49.8476935
5,Spain,Barcelone,13 May,41.5682768,2.2582064
6,Monaco,Monaco,27 May,43.7380948,7.4260503
7,Canada,Montreal,10 June,45.50589,-73.52411
8,France,Le-Castellet,24 June,43.2511291,5.7894971
9,Austria,Spielberg,01 July,47.2235862,14.7555404
10,Britain,Silverstone,08 July,52.07159,-1.01615
11,Germany,Hockenheim,22 July,49.3308527,8.5790215
12,Hungary,Hungaroring,29 July,47.5817579,19.2507484
13,Belgium,Spa-Francorchamps,26 August,50.4386283,5.9666064
14,Italy,Monza,02 September,45.6184477,9.2876756
15,Singapore,Singapour,16 September,1.2875346,103.8554768
16,Russia,Sochi,30 September,43.4067237,39.9569962
17,Japan,Suzuka,07 October,34.8431556,136.5266977
18,USA,Austin,21 October,30.1336367,-97.6345729
19,Mexico,Mexico-City,28 October,19.4002574,-99.0902792
20,Brazil,Interlagos,11 November,-23.7032926,-46.696961
21,Abu Dhabi,Yas-Marina,25 November,24.4717208,54.6018358
