#,Grand Prix,Circuit,Date,lat,long
1,Monaco,Monaco,22 May,43.7380948,7.4260503
2,Belgium,Spa-Francorchamps,12 June,50.4386283,5.9666064
3,France,Reims,03 July,49.2583768,3.9230837
4,Britain,Brands-Hatch,16 July,51.3555433,0.2629122
5,Netherlands,Zandvoort,24 July,52.3878911,4.5430609
6,Germany,Nurburgring,07 August,50.3292676,6.942535
7,Italy,Monza,04 September,45.6184477,9.2876756
8,USA,Watkins-Glen,02 October,42.336931,-76.924553
9,Mexico,Mexico-City,23 October,19.4002574,-99.0902792
