#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,07 March,-37.8491401,144.9698726
2,Brazil,Interlagos,11 April,-23.7032926,-46.696961
3,San Marino,Imola,02 May,44.3398577,11.7133288
4,Monaco,Monaco,16 May,43.7380948,7.4260503
5,Spain,Barcelone,30 May,41.5682768,2.2582064
6,Canada,Montreal,13 June,45.50589,-73.52411
7,France,Magny-Cours,27 June,46.8619335,3.1655065
8,Britain,Silverstone,11 July,52.07159,-1.01615
9,Austria,Spielberg,25 July,47.2235862,14.7555404
10,Germany,Hockenheim,01 August,49.3308527,8.5790215
11,Hungary,Hungaroring,15 August,47.5817579,19.2507484
12,Belgium,Spa-Francorchamps,29 August,50.4386283,5.9666064
13,Italy,Monza,12 September,45.6184477,9.2876756
14,Europe,Nurburgring,26 September,50.3292676,6.942535
15,Malaysia,Kuala-Lumpur,17 October,2.7597106,101.7371379
16,Japan,Suzuka,31 October,34.8431556,136.5266977
