#,Grand Prix,Circuit,Date,lat,long
1,Brazil,Interlagos,27 March,-23.7032926,-46.696961
2,Pacific,Aida,17 April,34.9152924,134.2207281
3,San Marino,Imola,01 May,44.3398577,11.7133288
4,Monaco,Monaco,15 May,43.7380948,7.4260503
5,Spain,Barcelone,29 May,41.5682768,2.2582064
6,Canada,Montreal,12 June,45.50589,-73.52411
7,France,Magny-Cours,03 July,46.8619335,3.1655065
8,Britain,Silverstone,10 July,52.07159,-1.01615
9,Germany,Hockenheim,31 July,49.3308527,8.5790215
10,Hungary,Hungaroring,14 August,47.5817579,19.2507484
11,Belgium,Spa-Francorchamps,28 August,50.4386283,5.9666064
12,Italy,Monza,11 September,45.6184477,9.2876756
13,Portugal,Estoril,25 September,38.7491677,-9.394149
14,Europe,Jerez-de-la-Frontera,16 October,36.7075431,-6.0326723
15,Japan,Suzuka,06 November,34.8431556,136.5266977
16,Australia,Adelaide,13 November,-34.9269993,138.6172609
