#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,16 January,-34.6922845,-58.4550501
2,Monaco,Monaco,22 May,43.7380948,7.4260503
3,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
4,Belgium,Spa-Francorchamps,05 June,50.4386283,5.9666064
5,Netherlands,Zandvoort,19 June,52.3878911,4.5430609
6,Britain,Aintree,16 July,53.4759049,-2.9413726
7,Italy,Monza,11 September,45.6184477,9.2876756
