#,Grand Prix,Circuit,Date,lat,long
1,Bahrain,Sakhir,12 March,26.0303897,50.513543
2,Malaysia,Kuala-Lumpur,19 March,2.7597106,101.7371379
3,Australia,Melbourne,02 April,-37.8491401,144.9698726
4,San Marino,Imola,23 April,44.3398577,11.7133288
5,Europe,Nurburgring,07 May,50.3292676,6.942535
6,Spain,Barcelone,14 May,41.5682768,2.2582064
7,Monaco,Monaco,28 May,43.7380948,7.4260503
8,Britain,Silverstone,11 June,52.07159,-1.01615
9,Canada,Montreal,25 June,45.50589,-73.52411
10,USA,Indianapolis,02 July,39.7955151,-86.2362663
11,France,Magny-Cours,16 July,46.8619335,3.1655065
12,Germany,Hockenheim,30 July,49.3308527,8.5790215
13,Hungary,Hungaroring,06 August,47.5817579,19.2507484
14,Turkey,Istanbul,27 August,40.9552661,29.4096963
15,Italy,Monza,10 September,45.6184477,9.2876756
16,China,Shanghai,01 October,31.341322,121.21911
17,Japan,Suzuka,08 October,34.8431556,136.5266977
18,Brazil,Interlagos,22 October,-23.7032926,-46.696961
