#,Grand Prix,Circuit,Date,lat,long
1,Brazil,Jacarepagua,12 April,-22.9779874,-43.3958898
2,San Marino,Imola,03 May,44.3398577,11.7133288
3,Belgium,Spa-Francorchamps,17 May,50.4386283,5.9666064
4,Monaco,Monaco,31 May,43.7380948,7.4260503
5,Detroit,Detroit,21 June,42.3280081,-83.0405242
6,France,Le-Castellet,05 July,43.2511291,5.7894971
7,Britain,Silverstone,12 July,52.07159,-1.01615
8,Germany,Hockenheim,26 July,49.3308527,8.5790215
9,Hungary,Hungaroring,09 August,47.5817579,19.2507484
10,Austria,Osterreichring,16 August,47.22244,14.7595
11,Italy,Monza,06 September,45.6184477,9.2876756
12,Portugal,Estoril,20 September,38.7491677,-9.394149
13,Spain,Jerez-de-la-Frontera,27 September,36.7075431,-6.0326723
14,Mexico,Mexico-City,18 October,19.4002574,-99.0902792
15,Japan,Suzuka,01 November,34.8431556,136.5266977
16,Australia,Adelaide,15 November,-34.9269993,138.6172609
