#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,19 January,-34.6922845,-58.4550501
2,Monaco,Monaco,18 May,43.7380948,7.4260503
3,Netherlands,Zandvoort,26 May,52.3878911,4.5430609
4,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
5,Belgium,Spa-Francorchamps,15 June,50.4386283,5.9666064
6,France,Reims,06 July,49.2583768,3.9230837
7,Britain,Silverstone,19 July,52.07159,-1.01615
8,Germany,Nurburgring,03 August,50.3292676,6.942535
9,Portugal,Porto,24 August,41.1685927,-8.6786295
10,Italy,Monza,07 September,45.6184477,9.2876756
11,Morocco,Ain-Diab,19 October,33.5805298,-7.68909
