#,Grand Prix,Circuit,Date,lat,long
1,Argentina,Buenos-Aires,07 February,-34.6922845,-58.4550501
2,Monaco,Monaco,29 May,43.7380948,7.4260503
3,Indianapolis 500,Indianapolis,30 May,39.7955151,-86.2362663
4,Netherlands,Zandvoort,06 June,52.3878911,4.5430609
5,Belgium,Spa-Francorchamps,19 June,50.4386283,5.9666064
6,France,Reims,03 July,49.2583768,3.9230837
7,Britain,Silverstone,16 July,52.07159,-1.01615
8,Portugal,Porto,14 August,41.1685927,-8.6786295
9,Italy,Monza,04 September,45.6184477,9.2876756
10,USA,Riverside,20 November,33.93438,-117.27276
